subject,predicate,old_object,new_object
<https://id.analoggamemuseum.org/api/items/1373>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18941>
<https://id.analoggamemuseum.org/api/items/1378>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18915>
<https://id.analoggamemuseum.org/api/items/1378>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18916>
<https://id.analoggamemuseum.org/api/items/1379>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18934>
<https://id.analoggamemuseum.org/api/items/1379>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18935>
<https://id.analoggamemuseum.org/api/items/1380>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18936>
<https://id.analoggamemuseum.org/api/items/1380>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18937>
<https://id.analoggamemuseum.org/api/items/1381>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19798>
<https://id.analoggamemuseum.org/api/items/1381>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19799>
<https://id.analoggamemuseum.org/api/items/1383>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18938>
<https://id.analoggamemuseum.org/api/items/1383>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18939>
<https://id.analoggamemuseum.org/api/items/1384>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18959>
<https://id.analoggamemuseum.org/api/items/1384>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18960>
<https://id.analoggamemuseum.org/api/items/1385>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19787>
<https://id.analoggamemuseum.org/api/items/1385>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19788>
<https://id.analoggamemuseum.org/api/items/1386>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19574>
<https://id.analoggamemuseum.org/api/items/1386>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19575>
<https://id.analoggamemuseum.org/api/items/1386>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19576>
<https://id.analoggamemuseum.org/api/items/1388>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18904>
<https://id.analoggamemuseum.org/api/items/1388>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18905>
<https://id.analoggamemuseum.org/api/items/1388>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18906>
<https://id.analoggamemuseum.org/api/items/1391>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19427>
<https://id.analoggamemuseum.org/api/items/1391>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19428>
<https://id.analoggamemuseum.org/api/items/1392>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18919>
<https://id.analoggamemuseum.org/api/items/1392>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18920>
<https://id.analoggamemuseum.org/api/items/1394>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19800>
<https://id.analoggamemuseum.org/api/items/1394>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19801>
<https://id.analoggamemuseum.org/api/items/1398>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19212>
<https://id.analoggamemuseum.org/api/items/1398>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19213>
<https://id.analoggamemuseum.org/api/items/1406>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19407>
<https://id.analoggamemuseum.org/api/items/1406>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19408>
<https://id.analoggamemuseum.org/api/items/1421>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21498>
<https://id.analoggamemuseum.org/api/items/1421>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21499>
<https://id.analoggamemuseum.org/api/items/1421>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21500>
<https://id.analoggamemuseum.org/api/items/1422>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21377>
<https://id.analoggamemuseum.org/api/items/1422>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21378>
<https://id.analoggamemuseum.org/api/items/1480>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21777>
<https://id.analoggamemuseum.org/api/items/1480>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/21778>
<https://id.analoggamemuseum.org/api/items/1493>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19922>
<https://id.analoggamemuseum.org/api/items/1493>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19923>
<https://id.analoggamemuseum.org/api/items/1495>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19075>
<https://id.analoggamemuseum.org/api/items/1495>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19076>
<https://id.analoggamemuseum.org/api/items/1496>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19363>
<https://id.analoggamemuseum.org/api/items/1496>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19364>
<https://id.analoggamemuseum.org/api/items/1501>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19387>
<https://id.analoggamemuseum.org/api/items/1501>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19388>
